洋画（ランキング）	urn:IPTVService:cs:NTT:NavigationCS:2006:03:2.2.1	2.2.1	sort_index_asc
邦画（ランキング）	urn:IPTVService:cs:NTT:NavigationCS:2006:03:2.2.2	2.2.2	sort_index_asc
アニメキッズ（ランキング）	urn:IPTVService:cs:NTT:NavigationCS:2006:03:2.2.3	2.2.3	sort_index_asc
TVシリーズ（ランキング）	urn:IPTVService:cs:NTT:NavigationCS:2006:03:2.2.4	2.2.4	sort_index_asc
スポーツ（ランキング）	urn:IPTVService:cs:NTT:NavigationCS:2006:03:2.2.5	2.2.5	sort_index_asc
その他（ランキング）	urn:IPTVService:cs:NTT:NavigationCS:2006:03:2.2.6	2.2.6	sort_index_asc
成人（ランキング）	urn:IPTVService:cs:NTT:NavigationCS:2006:03:2.2.99	2.2.99	sort_index_asc
